id,name,description,latitude,longitude,site_type,fee,source
usfs-328,ELMWOOD,This recreation area is located in the northeastern portion of the Francis Marion National Forest. It's a popular camp during deer and turkey hunts on the Waterhorn Hunt Unit. The area also serves as a South Carolina Department of Natural Resources game,33.19895876,-79.47006502,GROUP CAMPGROUND,No Fee,usfs
usfs-347,KINGS RIVER 2,,36.80861111,-118.7763889,CAMPING AREA,No Fee,usfs
usfs-360,EAST BIG BELTS GFA - BENTON GULCH CUA,,46.671,-111.364,CAMPING AREA,No Fee,usfs
usfs-364,SEVEN PINES YELLOW POST SITES,,33.809484,-116.733876,CAMPING AREA,No Fee,usfs
usfs-366,ROUND THE MOUNTAIN,ROUND THE MOUNTAIN,32.66611111,-109.8019444,HORSE CAMP,No Fee,usfs
usfs-382,SPRING HILL,"Spring Hill primarily consists of two distinct areas, not far from each other, that provide excellent dispersed camping opportunities, near water and nestled in Aspen stands. Camping areas are easily accessible off the main Twelve Mile Canyon Road; one o",39.15104,-111.56643,CAMPING AREA,No Fee,usfs
usfs-387,WALROD DESIGNATED CAMPING AREA,"Designated camping area in the Cement Creek drainage, close to Crested Butte. 3 sites are available and camping is allowed only in designated sites. All sites are 4x4 access only. Each site has a fire ring and is marked with a unit marker.",38.8307,-106.8436,CAMPING AREA,No Fee,usfs
usfs-391,CRESCENT LAKE,"Crescent lake is a beautiful 21.6 acre, emerald green lake. This lake is located nine miles north of Metaline Falls, WA, and just one mile south of the Canadian border. Open season runs from the last Saturday in April through October 31. This lake receiv",48.98793054,-117.3143496,CAMPGROUND,No Fee,usfs
usfs-410,CASCADE LAKE SITE 2,,47.87114604,-90.63174668,CAMPING AREA,No Fee,usfs
usfs-427,BEYERS LAKES,,39.386008,-120.557057,CAMPING AREA,No Fee,usfs
usfs-428,A.T. HAWK MOUNTAIN SHELTER,,34.665982,-84.136442,CAMPING AREA,No Fee,usfs
usfs-439,GOLD VALLEY,,39.670514,-120.709195,CAMPING AREA,No Fee,usfs
usfs-447,DEADMAN LAKE,,39.62081,-120.551913,CAMPING AREA,No Fee,usfs
usfs-462,WHITE ROCK SPRINGS,WHITE ROCK SPRINGS (Camping Area),46.99150549,-116.1097582,CAMPING AREA,No Fee,usfs
usfs-508,GRIZZLY PASS,GRIZZLY PASS (Camping Area),37.50536111,-119.49258333,CAMPING AREA,No Fee,usfs
usfs-537,GRIFFITH LAKE TENT AREA,GRIFFITH LAKE TENT AREA (Campground),43.303421,-72.957943,CAMPGROUND,No Fee,usfs
usfs-542,ELLIOT RANCH,,39.158511,-120.739655,CAMPING AREA,No Fee,usfs
usfs-566,A.T. LONG BRANCH SHELTER,,35.06997,-83.49815,CAMPING AREA,No Fee,usfs
usfs-586,BUCKTAIL HUNTER CAMP,BUCKTAIL CAMP (Campground),32.905001,-93.007001,CAMPGROUND,No Fee,usfs
usfs-587,COUGAR POINT CAMPGROUND,COUGAR POINT CAMPGROUND (Campground),45.083168,-114.054661,CAMPGROUND,No Fee,usfs
usfs-615,POISON SPRINGS,POISON SPRINGS (Camping Area),40.044908,-121.393775,CAMPING AREA,No Fee,usfs
usfs-626,RUMBAUGH RIDGE,RUMBAUGH RIDGE (Campground),44.76779,-111.2682,CAMPGROUND,No Fee,usfs
usfs-655,LOWER PARK CREEK,,48.73333333,-121.6627778,CAMPING AREA,No Fee,usfs
usfs-669,BOBBLETS GAP A.T. SHELTER,This is an Appalachain Trail shelter.,37.46666667,-79.70138889,CAMPING AREA,No Fee,usfs
usfs-673,EVANS CREEK CAMPGROUND,Evans Creek Campground is located along Anderson Ranch Reservoir. There are 10 first come first serve campsites.,43.39912,-115.41385,CAMPGROUND,No Fee,usfs
usfs-714,STOVEPIPE SPRINGS DISPERSED CAMPGROUND,STOVEPIPE SPRINGS DISPERSED CAMPGROUND (Campground),44.26234246,-114.70814059,CAMPGROUND,No Fee,usfs
usfs-725,HANSON CAMP (CUA),,39.73375,-121.206886,CAMPING AREA,No Fee,usfs
usfs-752,RD 714-01,,46.163025,-113.98815,CAMPING AREA,No Fee,usfs
usfs-755,SKALKAHO CK-01,,46.21308833,-113.85298667,CAMPING AREA,No Fee,usfs
usfs-762,UPPER GALLINAS,UPPER GALLINAS (Campground),32.89880371,-107.82356262,CAMPGROUND,No Fee,usfs
usfs-783,RD 7173A,,48.57716,-115.16853,CAMPING AREA,No Fee,usfs
usfs-787,DOGWOOD CAMP,"Primitive campground located on Hwy 117 near FH 59 (Longleaf Scenic Byway). The campground has restrooms, water, trash receptacles, and area for trailers/campers.",31.492001,-93.193001,CAMPGROUND,No Fee,usfs
usfs-792,HAWKSEYE CAMP,,47.77318,-115.96116,CAMPING AREA,No Fee,usfs
usfs-811,EAST LAKE,EAST LAKE (Camping Area),37.18126667,-119.02386111,CAMPING AREA,No Fee,usfs
usfs-817,AVALANCHE CG,"Avalanche Campground has 6 first-come first-serve campsites. It is located adjacent to Avalanche Creek. Fishing is available in Avalanche Creek and in the Crystal River, which is 3 miles downstream. One of the major trailheads into the Maroon Bells-Snowm",39.236566,-107.203346,CAMPGROUND,No Fee,usfs
usfs-820,CLIFF LAKE HUNT CAMP,,30.13952186,-84.93254572,CAMPING AREA,No Fee,usfs
usfs-836,SCHAFER AIR,SCHAFER AIR (Camping Area),48.0796,-113.24187222,CAMPING AREA,No Fee,usfs
usfs-840,PARKER CREEK,,37.85742321,-119.135802,CAMPING AREA,No Fee,usfs
usfs-851,ROXIE PECONOM,"Campground located 2 miles off highway 36. There are 10 walk in sites, hand pumped water and vault toilet.",40.355496,-120.810255,CAMPGROUND,No Fee,usfs
usfs-853,MCRAE MEADOWS CAMP,,39.7487,-120.7575,CAMPING AREA,No Fee,usfs
usfs-867,TURKEY RUN PRIMITIVE CAMP,TURKEY RUN TRAILHEAD  FNST Camp Shelter with Kiosk,30.28055556,-82.47916667,CAMPGROUND,No Fee,usfs
usfs-921,NORTH FORK CAMPGROUND,"Group site at 2,500 feet elevation. Maximum trailer length 25 feet. Bring drinking water, toilet paper and pack out all garbage.",47.9879,-120.5809,CAMPGROUND,No Fee,usfs
usfs-929,MOSQUITO FLAT BACKPACKER CG,This is a special one night only campground designed for backpackers on the night before embarking on their backpack trip. 10 Single campsites. It is a walk-in campground (short distance).,37.4345,-118.7471,CAMPGROUND,No Fee,usfs
usfs-936,BOB SCOTT CAMPGROUND,"Generally open May to October as weather and conditions allow. Accessible from U.S. Route 50.In open setting with pinyon-juniper forest at Bob Scott Summit. Hunting for deer and elk in season. Fishing at Birch Creek, 8 miles from campground.",39.4551,-117.0011,CAMPGROUND,No Fee,usfs
usfs-937,SPAR PEAK,,48.22111945,-115.98113334,CAMPING AREA,No Fee,usfs
usfs-956,AIRPORT FLAT CG,Sites are arranged into pods to accommodate groups of 15 - 25 people.,38.985255,-120.380386,CAMPGROUND,No Fee,usfs
usfs-972,EQUINE STAGING AREA,EQUINE STAGING AREA (Camping Area),39.253141,-122.951779,CAMPING AREA,No Fee,usfs
usfs-981,GILBERTS CREEK 2,GILBERTS CREEK 2 (Camping Area),37.104058,-83.497252,CAMPING AREA,No Fee,usfs
usfs-984,POWELL SPRINGS CAMPGROUND,POWELL SPRINGS CAMPGROUND (Campground),34.57841612,-112.0687281,CAMPGROUND,No Fee,usfs
usfs-991,CHAPMAN,,39.647714,-120.532825,CAMPING AREA,No Fee,usfs
usfs-992,TRIDENT COL TENTSITE,,44.44163444,-71.13641111,CAMPGROUND,No Fee,usfs
usfs-1006,DAVENPORT LANDING,"Deep in the floodplain forest along the Ocklawaha River, Davenport Landing is a former steamboat stop along this twisting, winding waterway.  Three primitive campsites provide a stop for paddlers working their way along the river. BoatingPaddle your cano",29.4722,-81.7735,CAMPING AREA,No Fee,usfs
usfs-1031,WHITETAIL MEADOWS,,48.830089,-115.802033,CAMPING AREA,No Fee,usfs
usfs-1057,BIG BLUE,"A real jewel of a secluded campground overlooking a picturesque valley adjacent to the Uncompahgre Wilderness. Located near the junction of Soldier Creek and Blue Creek with variety of hiking trails exist in the area including Big Blue Trail, Fall Creek",38.218422,-107.386177,CAMPGROUND,No Fee,usfs
usfs-1060,CASSIDY BRIDGE,"The Cassidy Bridge Hunt Camp is located in a nicely wooded area along the banks of the Chauga River, one of the popular fishing streams on the district. During big-game and turkey hunting seasons, the campground is opened free of charge. During the rest",34.78572965,-83.209591,GROUP CAMPGROUND,No Fee,usfs
usfs-1067,OAK VALLEY,,39.513999,-121.055098,CAMPING AREA,No Fee,usfs
usfs-1081,RD 2370 SITE 1,,48.628231,-115.900999,CAMPING AREA,No Fee,usfs
usfs-1116,PAIUTE CANYON YELLOW POST SITES,,34.31416667,-117.6077778,CAMPING AREA,No Fee,usfs
usfs-1131,MIRROR CAMP,MIRROR CAMP (Camping Area),37.20961567,-119.12896243,CAMPING AREA,No Fee,usfs
usfs-1137,LONG POINT,LONG POINT (Camping Area),40.20867,-121.755006,CAMPING AREA,No Fee,usfs
usfs-1152,BUTTER GAP SHELTER,,35.25327,-82.80959,CAMPING AREA,No Fee,usfs
usfs-1196,CUCHILLO DEL MEDIO,One of three small sites on paved road to Taos Ski Valley provides access to Rio Hondo fishing and hiking in Columbine-Hondo Wilderness Study Area and Wheeler Peak Wilderness,36.5605,-105.5325,CAMPGROUND,No Fee,usfs
usfs-1213,TAMARACK POINT,TAMARACK POINT (Campground),47.443951,-94.120766,CAMPGROUND,No Fee,usfs
usfs-1215,LOWER BOULDER,,36.755,-118.7913889,CAMPING AREA,No Fee,usfs
usfs-1242,SODA SPRINGS,,39.168342,-120.486471,CAMPING AREA,No Fee,usfs
usfs-1259,TRINITY MOUNTAIN,,41.032078,-123.413381,CAMPING AREA,No Fee,usfs
usfs-1279,DRY FORK,"Dry Fork Recreation Area, a campground and picnic area located at the equestrian trailhead of the 36-mile Cedar Creek Trail.  This area, located in central Missouri near Fulton serves recreationists with or without horses.  This campground is situated",38.784231,-92.125542,HORSE CAMP,No Fee,usfs
usfs-1306,BEAVER LAKE,Beaver Lake campground is in the process of being converted to Beth Lake trailhead. Day use area. Closed for camping.,48.8497,-118.9688,CAMPGROUND,No Fee,usfs
usfs-1333,DALTON DISPERSED,DALTON DISPERSED (Camping Area),35.658857,-105.69031,CAMPING AREA,No Fee,usfs
usfs-1360,A.T. ROAN HIGH KNOB SHELTER,A.T. ROAN HIGH KNOB SHELTER (Camping Area),36.10514648,-82.12221517,CAMPING AREA,No Fee,usfs
usfs-1398,SUOMI SOUTH SIDE M11,,47.4485175,-93.62579889,CAMPING AREA,No Fee,usfs
usfs-1406,HITCHCOCK HUNT CAMP & BOAT RAMP,,30.0809,-84.6509,CAMPING AREA,No Fee,usfs
usfs-1438,LEAVIS FLAT,"Operated by volunteers from the Giant Sequoia National Monument Association. 3000 feet elevation. 9 campsites. 16 foot max RV length. No water, no reservations",36.12730884,-118.6762006,CAMPGROUND,No Fee,usfs
usfs-1443,HEAD WATERS MIDDLE FORK,,39.18984,-120.29829,CAMPING AREA,No Fee,usfs
usfs-1455,GREEN CANYON GROUP CG,,34.22361111,-116.8055556,GROUP CAMPGROUND,No Fee,usfs
usfs-1457,BURNT CREEK,,48.72941111,-115.86964167,CAMPING AREA,No Fee,usfs
usfs-1462,BROWN MTN CREEK A.T. SHELTER,This is an Appalachain Trail shelter.,37.70916667,-79.26833333,CAMPING AREA,No Fee,usfs
usfs-1484,DEER CREEK CAMPGROUND,"5 dispersed camping sites with fire rings are available for small RVs or tent camping, with nearby fishing, hiking, mushroom and berry picking.",47.353261,-115.372867,CAMPGROUND,No Fee,usfs
usfs-1545,UPPER SALT CREEK CG-G_CLOSED,This Site is Permanently Closed.,40.85044026,-122.3368439,GROUP CAMPGROUND,No Fee,usfs
usfs-1591,KREMMER LAKE NORTH (M135),,47.4668933,-93.6400537,CAMPING AREA,No Fee,usfs
usfs-1593,APPLE CANYON YELLOW POST SITES,,33.676568,-116.669207,CAMPING AREA,No Fee,usfs
usfs-1611,GRASSY MOUNTAIN GFA - GRASSY CUA,,46.267,-111.119,CAMPING AREA,No Fee,usfs
usfs-1624,NORTH FORK BEEGUM CREEK CAMP,"This tiny, tents only campground is located near Beegum Creek. Partially shaded with only two campsites, this is a great home base for your adventures! Be aware - there are vault toilets available, but no water.",40.31347,-122.93388,CAMPING AREA,No Fee,usfs
usfs-1659,PISGAH POINT BACKCOUNTRY CAMPING,PISGAH POINT CAMPING AREA,36.9369,-88.1677,CAMPING AREA,No Fee,usfs
usfs-1668,ANGLES CG,The Angles Trailhead is located behind Togwotee Mountain Lodge off of Forest Service Road 30040 approximately 9 miles from the Blackrock Ranger Station; though it is not an official campground there are 2 no-fee campsites without hookups.,43.825036,-110.201691,CAMPGROUND,No Fee,usfs
usfs-1669,RED STAR,,39.053237,-120.534091,CAMPING AREA,No Fee,usfs
usfs-1676,BEAVER CREEK,Beaver Creek is a small (8 sites) campground on the banks of scenic Beaver Creek. There are vault restrooms but no water. There is no fee for camping at Beaver Creek.,41.92726251,-122.8291132,CAMPGROUND,No Fee,usfs
usfs-1682,SKALKAHO RD- 02,,46.18455833,-113.89422667,CAMPING AREA,No Fee,usfs
usfs-1691,WEST BRANCH,This campground was burned severly in 2020. Facilities were affected.,41.93216949,-123.4754983,CAMPGROUND,No Fee,usfs
usfs-1710,NCT-TRACY RUN NORTH SHELTER,NCT-TRACY RUN NORTH SHELTER (Campground),41.962017,-78.918217,CAMPGROUND,No Fee,usfs
usfs-1718,A.T. DOUBLE SPRINGS SHELTER,A.T. DOUBLE SPRINGS SHELTER (Camping Area),36.50912547,-81.98609253,CAMPING AREA,No Fee,usfs
usfs-1744,RIVER BEND CAMPGROUND,River Bend Campground is a primitive campsite nestled in a shaded area alongside Huntington Creek. This campground is located in beautiful Huntington Canyon along the Huntington Canyon National Scenic Byway on Utah Highway 31. It sits at an elevation of,39.439151,-111.134348,CAMPGROUND,No Fee,usfs
usfs-1749,RD4640 CAMP 1,,48.25492,-115.96505167,CAMPING AREA,No Fee,usfs
usfs-1758,LONG POOL,,47.79111,-116.06488,CAMPING AREA,No Fee,usfs
usfs-1759,SOUTH FORK BAY,Dispersed camping located near Rimrock Lake with RV and tent sites.,46.6356932,-121.2647862,CAMPGROUND,No Fee,usfs
usfs-1763,SPLAINS GULCH DESIGNATED CAMPING AREA,"Designated camping area in Splains Gulch, close to Crested Butte. 5 sites are available and camping is allowed only in designated sites. Each site has a fire ring and is marked with a unit marker.",38.85542,-107.07235,CAMPING AREA,No Fee,usfs
usfs-1772,MORRISTOWN,,39.6626,-120.895426,CAMPING AREA,No Fee,usfs
usfs-1781,BENCHMARK ROAD,,47.44603124,-112.8208808,CAMPING AREA,No Fee,usfs
usfs-1782,BASE CAMP,BASE CAMP (Camping Area),37.12354873,-119.17515512,CAMPING AREA,No Fee,usfs
usfs-1795,A.T. FLINT MOUNTAIN SHELTER,,36.03477,-82.59678,CAMPING AREA,No Fee,usfs
usfs-1830,ADELE LAKE (M1),ADELE LAKE (M1) (Camping Area),47.47243361,-93.65338056,CAMPING AREA,No Fee,usfs
usfs-1832,SALMON  LAKES,,39.651729,-120.644115,CAMPING AREA,No Fee,usfs
usfs-1853,HICKEY GAP,HICKEY GAP (Campground),34.89361111,-84.67166667,CAMPGROUND,No Fee,usfs
usfs-1861,WASHINGTON GULCH DESIGNATED CAMPING AREA,"Designated camping area in the Washington Gulch drainage, close to Crested Butte. 48 sites are available and camping is allowed only in designated sites. Each site has a fire ring and is marked with a unit marker. A double vault toilet is available.",38.9337,-107.0183,CAMPING AREA,No Fee,usfs
usfs-1870,GOULD MESA,"Elevation: 1500-Foot ElevationAmenities: 5 Hike-in campsites- Picnic tables and campfire rings, vault toilets, trash receptacles, no piped water available. Seasonal stream water (treat before using). However, water flow may be low or non-existent due to",34.22222222,-118.2222222,CAMPGROUND,No Fee,usfs
usfs-1885,LITTLE AMERICAN VALLEY,,39.18929,-120.33781,CAMPING AREA,No Fee,usfs
usfs-1895,RD 48-01 - ERRONEOUS,,48.60708,-114.96063,CAMPING AREA,No Fee,usfs
usfs-1904,TUNNEL ROCK CG-F,Permanently Closed,40.77239619,-122.7784136,CAMPGROUND,No Fee,usfs
usfs-1950,PEAVINE CREEK CAMPGROUND,"Generally open May to October as weather and conditions allow. Access to the Arc Dome Wilderness by the Peavine and Toms Canyon Trailheads. Located in Peavine Canyon, on the southeastern side of the Toiyabe Mountain Range. Peavine Creek also flows throug",38.6205,-117.3124,CAMPGROUND,No Fee,usfs
usfs-1956,MINGUS GROUP,,34.693731,-112.120258,GROUP CAMPGROUND,No Fee,usfs
usfs-1962,QUEMADO LAKE - EL CASO CG #4,QUEMADO LAKE - EL CASO CG #4 (Campground),34.13826,-108.4612,CAMPGROUND,No Fee,usfs
usfs-1974,CORNEY LAKE REC AREA,"visitors to the south shore camping area can utilize the facilities which include paved roads, lantern posts, fire rings, restrooms, ample parking, and trash receptacles. Visitors to this area can also use single and group picnic facilities which include",32.905001,-92.744001,CAMPGROUND,No Fee,usfs
usfs-1980,SUMMIT MEADOW/LOOKOUT PEAK,,36.76916667,-118.7175,CAMPING AREA,No Fee,usfs
usfs-2011,SPRUCE ISLAND (WEST M4A),,47.46150083,-93.65576667,CAMPING AREA,No Fee,usfs
usfs-2032,KINGS RIVER/PARK BOUNDARY,,36.80305556,-118.7041667,CAMPING AREA,No Fee,usfs
usfs-2047,CEDAR RUSTIC,,41.74165,-123.8767,CAMPING AREA,No Fee,usfs
usfs-2057,SPRUCE ISLAND (EAST M4B),,47.46228083,-93.65308361,CAMPING AREA,No Fee,usfs
usfs-2067,WOLVERINE LAKES DISPERSED SITE 19,,48.971021,-114.921435,CAMPING AREA,No Fee,usfs
usfs-2080,MITCHELL MINE,,39.104067,-120.693541,CAMPING AREA,No Fee,usfs
usfs-2089,BERRY CREEK CAMPGROUND,"This disperse campground has picnic tables and campfire rings. At this campground, recreation activities include river/stream fishing, mountain biking, backpack/day hiking, horseback riding, cross-country skiing, and snowshoeing.",38.8218,-114.6074,CAMPGROUND,No Fee,usfs
usfs-2092,BLACK KETTLE,BLACK KETTLE (Campground),35.7452981,-99.71401584,CAMPGROUND,No Fee,usfs
usfs-2100,TENAJA CAMPGROUND (CLOSED),TENAJA CAMPGROUND (Campground),33.5385,-117.4227,CAMPGROUND,No Fee,usfs
usfs-2107,BOGGS CREEK,This site has been converted to day use only with NO FEE REQUIRED!,34.68888889,-83.89166667,CAMPGROUND,No Fee,usfs
usfs-2110,BUFFALO LAKE DISPERSED,BUFFALO LAKE DISPERSED (Camping Area),38.529402,-79.690892,CAMPING AREA,No Fee,usfs
usfs-2134,KELLER,KELLER (Campground),39.715833,-122.9075,CAMPGROUND,No Fee,usfs
usfs-2140,YUBA PASS,"Yuba Pass Campground is located in the North Yuba River area, atop Yuba Pass on Highway 49. Visitors enjoy a wide variety of recreational activities in the area, including birding, hiking, biking, hunting and fishing. This facility is operated and mainta",39.615927,-120.490693,CAMPGROUND,No Fee,usfs
usfs-2141,TRAPPER FLAT CAMPING AREA,TRAPPER FLAT CAMPING AREA (Camping Area),45.161528,-114.284782,CAMPING AREA,No Fee,usfs
usfs-2143,RD 1356-01,,46.20934833,-113.93378833,CAMPING AREA,No Fee,usfs
usfs-2144,PRIEST A.T. SHELTER,This is an Appalachain Trail shelter.,37.81722222,-79.070011,CAMPING AREA,No Fee,usfs
usfs-2151,LITTLE OAK FLAT,,39.033513,-120.671317,CAMPING AREA,No Fee,usfs
usfs-2173,A.T. WALNUT MOUNTAIN SHELTER,A.T. WALNUT MOUNTAIN SHELTER (Camping Area),35.83617777,-82.93641111,CAMPING AREA,No Fee,usfs
usfs-2197,BRUSH CREEK DESIGNATED CAMPING AREA,"Designated camping area in the Brush Creek drainage, close to Crested Butte. 13 sites are available and camping is allowed only in designated sites. Each site has a fire ring and is marked with a unit marker.",38.8868,-106.9008,CAMPING AREA,No Fee,usfs
usfs-2230,SAPILLO,SAPILLO (Group Campground),33.00800705,-108.11523438,GROUP CAMPGROUND,No Fee,usfs
usfs-2242,MIAMI STAGING AREA,MIAMI STAGING AREA (Camping Area),37.417632,-119.628713,CAMPING AREA,No Fee,usfs
usfs-2243,COLDWATER CANYON YELLOW POST SITES,COLDWATER CANYON YELLOW POST SITES (Camping Area),34.279171,-117.598109,CAMPING AREA,No Fee,usfs
usfs-2251,MCMILLEN,MCMILLEN (Campground),32.92556381,-108.21279907,CAMPGROUND,No Fee,usfs
usfs-2253,SPUNKY,SPUNKY (Campground),34.61027778,-118.3902778,CAMPGROUND,No Fee,usfs
usfs-2283,COYOTE CAMP 3,COYOTE CAMP 3 (Camping Area),37.19370302,-119.10916524,CAMPING AREA,No Fee,usfs
usfs-2295,WILLOW CREEK,"The Willow Creek Campground offers secluded tent and trailer sites in a large ponderosa pine and aspen stand. The campsites are located on the banks of Willow Creek and offers picnic tables, fire rings, and a two vault toilets. The campground is located",42.090367,-120.200912,CAMPGROUND,No Fee,usfs
usfs-2321,A.T. STOVER CREEK SHELTER,,34.6503,-84.19722,CAMPING AREA,No Fee,usfs
usfs-2327,TINCUP,TINCUP Dispersed Site,43.00491834,-111.1016758,CAMPING AREA,No Fee,usfs
usfs-2337,ERSHIM LAKE,ERSHIM LAKE (Camping Area),37.21335025,-119.05902134,CAMPING AREA,No Fee,usfs
usfs-2363,KLAHANIE,"Klahanie is located on the South Fork Calawah River; and has; a; typical; temperate coastal rainforest canopy, including; old growth spruce over 8' in diameter, hanging mosses and a lush carpet of wood sorel and sword fern. Klahanie provides a beautiful,",47.96575,-124.30606,CAMPGROUND,No Fee,usfs
usfs-2377,TROUT LAKES,Trout Lakes contains 12primitive campsites and access roads within the campground. Sites are best suited for tent camping and small campers/camp trailers. Three lakes provide fishing opportunities amid a setting of quiet conifers and aspen. Summer’s qu,36.608874,-106.382825,CAMPGROUND,No Fee,usfs
usfs-2386,AENEAS SPRINGS DISPERSED,,48.540478,-119.150505,CAMPING AREA,No Fee,usfs
usfs-2387,SMITHNECK,,39.577777,-120.159349,CAMPING AREA,No Fee,usfs
usfs-2391,25 MILE CAMPING AREA,25 MILE CAMPING AREA (Camping Area),46.07313233,-115.37724551,CAMPING AREA,No Fee,usfs
usfs-2399,CHOCCOLOCCO TRAIL SHELTER SITE,,33.90452,-85.499331,CAMPING AREA,No Fee,usfs
usfs-2416,BIG FLAT DISPERSED CAMPING,The Big Flat dispersed camping area is a favorite recreational spot anytime of the year because of the spectacular scenery. ATV riders can access the Paiute ATV trail from dispersed camping sites. Many non-motorized trails are also accessable to hiking a,38.2633,-112.3736,CAMPING AREA,No Fee,usfs
usfs-2472,KEY BRIDGE,KEY BRIDGE (Group Campground),33.79689552,-82.14582195,GROUP CAMPGROUND,No Fee,usfs
usfs-2485,EAST BIG BELTS GFA - ATLANTA/MULE CUA,,46.585,-111.258,CAMPING AREA,No Fee,usfs
usfs-2513,JONES VALLEY INLET,JONES VALLEY INLET (Camping Area),40.729318,-122.231393,CAMPING AREA,No Fee,usfs
usfs-2520,UPPER DEER CREEK,UPPER DEER CREEK (Camping Area),40.165483,-121.596578,CAMPING AREA,No Fee,usfs
usfs-2529,GASTON,,39.375952,-120.768074,CAMPING AREA,No Fee,usfs
usfs-2547,WILDHORSE CROSSING  UPPER LOOP GROUP CG,,41.7226,-115.9001,GROUP CAMPGROUND,No Fee,usfs
usfs-2557,RD 711-02,,46.16646667,-113.86289167,CAMPING AREA,No Fee,usfs
usfs-2569,QUEMADO LAKE - EL CASO CG #5,QUEMADO LAKE - EL CASO CG #5 (Campground),34.14024,-108.4549,CAMPGROUND,No Fee,usfs
usfs-2577,CASA LOMA,,39.19735,-120.78528,CAMPING AREA,No Fee,usfs
usfs-2600,SWEETWATER LAKE RECREATION AREA,"FACILITIES:

Sweetwater Campground has 9 partially shaded campsites with picnic tables, food lockers and fire rings. This campground has small sites. Six of the sites can accommodate vehicles up to 30 feet long. There is one vault toilet.

TRAILS - There",39.7974,-107.16099,CAMPGROUND,No Fee,usfs
usfs-2618,RD 13833-01,,45.69973833,-114.25987833,CAMPING AREA,No Fee,usfs
usfs-2623,DRIPPING SPRINGS COMPLEX,,40.921166,-109.352731,CAMPING AREA,No Fee,usfs
usfs-2639,DIAMOND R DISPERSED,DIAMOND R DISPERSED (Camping Area),47.92875,-113.52029,CAMPING AREA,No Fee,usfs
usfs-2656,TETON CANYON ROADS,,47.9140145,-112.7419881,CAMPING AREA,No Fee,usfs
usfs-2663,GRIZZLY FOREBAY (FAMILY CG),GRIZZLY FOREBAY (FAMILY CG) (Campground),39.89096451,-121.2897263,CAMPGROUND,No Fee,usfs
